season,round,driver_id,position,points,wins
1953,9,stevenson,,0.0,0
1953,9,wacker,,0.0,0
1953,9,whitehead,,0.0,0
1953,9,herrmann,,0.0,0
1953,9,scherrer,,0.0,0
1953,9,chiron,,0.0,0
1953,9,frere,,0.0,0
1953,9,davies,,0.0,0
1953,9,nalon,,0.0,0
1953,9,andre_pilette,,0.0,0
1953,9,gerard,,0.0,0
1953,9,nuckey,,0.0,0
1953,9,claes,,0.0,0
1953,9,bob_scott,,0.0,0
1953,9,scarborough,,0.0,0
1953,9,helfrich,,0.0,0
1953,9,mcalpine,,0.0,0
1953,9,ayulo,,0.0,0
1953,9,cabantous,,0.0,0
1953,9,hans_stuck,,0.0,0
1953,9,bryan,,0.0,0
1953,9,krause,,0.0,0
1953,9,holland,,0.0,0
1953,9,klodwig,,0.0,0
1953,9,dinsmore,,0.0,0
1953,9,linden,,0.0,0
1953,9,ward,,0.0,0
1953,9,seidel,,0.0,0
1953,9,faulkner,,0.0,0
1953,9,mantz,,0.0,0
1953,9,landi,,0.0,0
1953,9,manzon,,0.0,0
1953,9,jimmy_stewart,,0.0,0
1953,9,rolt,,0.0,0
1953,9,macklin,,0.0,0
1953,9,menditeguy,,0.0,0
1953,9,birger,,0.0,0
1953,9,cruz,,0.0,0
1953,9,fairman,,0.0,0
1953,9,hirt,,0.0,0
1953,9,salvadori,,0.0,0
1953,9,teague,,0.0,0
1953,9,bayol,,0.0,0
1953,9,thomson,,0.0,0
1953,9,webb,,0.0,0
1953,9,holmes,,0.0,0
1953,9,georges_berger,,0.0,0
1953,9,sweikert,,0.0,0
1953,9,legat,,0.0,0
1953,9,barth,,0.0,0
1953,9,nazaruk,,0.0,0
1953,9,flaherty,,0.0,0
1953,9,ian_stewart,,0.0,0
1953,9,karch,,0.0,0
1953,9,hoyt,,0.0,0
1953,9,heeks,,0.0,0
1953,9,duncan_hamilton,,0.0,0
1953,9,carini,,0.0,0
1953,9,parsons,,0.0,0
1953,9,freeland,,0.0,0
1954,9,fangio,1.0,42.0,6
1954,9,gonzalez,2.0,25.14,1
1954,9,hawthorn,3.0,24.64,1
1954,9,trintignant,4.0,17.0,0
1954,9,kling,5.0,12.0,0
1954,9,vukovich,6.0,8.0,1
1954,9,herrmann,7.0,8.0,0
1954,9,farina,8.0,6.0,0
1954,9,musso,9.0,6.0,0
1954,9,bryan,10.0,6.0,0
1954,9,mieres,11.0,6.0,0
1954,9,mcgrath,12.0,5.0,0
1954,9,moss,13.0,4.14,0
1954,9,marimon,14.0,4.14,0
1954,9,manzon,15.0,4.0,0
1954,9,mantovani,16.0,4.0,0
1954,9,bira,17.0,3.0,0
1954,9,maglioli,18.0,2.0,0
1954,9,andre_pilette,19.0,2.0,0
1954,9,villoresi,20.0,2.0,0
1954,9,bayol,21.0,2.0,0
1954,9,nazaruk,22.0,2.0,0
1954,9,darter,23.0,1.5,0
1954,9,ruttman,24.0,1.5,0
1954,9,ascari,25.0,1.1400000000000001,0
1954,9,behra,26.0,0.14,0
1954,9,schell,,0.0,0
1954,9,wharton,,0.0,0
1954,9,wacker,,0.0,0
1954,9,agabashian,,0.0,0
1954,9,taruffi,,0.0,0
1954,9,godia,,0.0,0
1954,9,rosier,,0.0,0
1954,9,collins,,0.0,0
1954,9,freeland,,0.0,0
1954,9,graffenried,,0.0,0
1954,9,swaters,,0.0,0
1954,9,paul_russo,,0.0,0
1954,9,hoyt,,0.0,0
1954,9,crockett,,0.0,0
1954,9,niday,,0.0,0
1954,9,gerard,,0.0,0
1954,9,daponte,,0.0,0
1954,9,parsons,,0.0,0
1954,9,davies,,0.0,0
1954,9,hanks,,0.0,0
1954,9,linden,,0.0,0
1954,9,cross,,0.0,0
1954,9,beauman,,0.0,0
1954,9,faulkner,,0.0,0
1954,9,stevenson,,0.0,0
1954,9,ayulo,,0.0,0
1954,9,marr,,0.0,0
1954,9,sweikert,,0.0,0
1954,9,thorne,,0.0,0
1954,9,bettenhausen,,0.0,0
1954,9,teague,,0.0,0
1954,9,jackson,,0.0,0
